id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
156,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,>=S1,1016,ORANG,2019
157,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,<S1,141,ORANG,2019
158,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,>=S1,959,ORANG,2019
159,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,<S1,36,ORANG,2019
160,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,>=S1,741,ORANG,2019
161,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,<S1,30,ORANG,2019
162,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,>=S1,508,ORANG,2019
163,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,<S1,21,ORANG,2019
164,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,>=S1,511,ORANG,2019
165,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,<S1,121,ORANG,2019
166,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,>=S1,1137,ORANG,2019
167,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,<S1,43,ORANG,2019
168,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,>=S1,987,ORANG,2019
169,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,<S1,104,ORANG,2019
170,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,>=S1,1225,ORANG,2019
171,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,<S1,55,ORANG,2019
172,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,>=S1,1183,ORANG,2019
